latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-5.34514,142.17143,309.43,1.02,1.01,2023-10-06,0033,T,64,6.1NRT,293.83,5.9,D
-7.53581,141.19533,315.3,1,1,2023-10-06,0033,T,33,6.1NRT,297.91,6.39,D
-7.5371,141.20424,328.89,1,1,2023-10-06,0033,T,62,6.1NRT,298.8,20.37,D
-7.546,141.20299,328.03,1,1,2023-10-06,0033,T,81,6.1NRT,296.37,19.28,D
-7.41324,138.49211,325.73,1.16,1.07,2023-10-06,0033,T,40,6.1NRT,302.9,16.21,D
-7.61304,139.39828,328.03,1.06,1.03,2023-10-06,0033,T,69,6.1NRT,299.24,18.58,D
-7.61653,139.3593,317.54,1.06,1.03,2023-10-06,0033,T,61,6.1NRT,295.27,7.1,D
-7.61794,139.36873,319.87,1.06,1.03,2023-10-06,0033,T,55,6.1NRT,296.35,8.67,D
-7.62215,139.39696,322.65,1.06,1.03,2023-10-06,0033,T,68,6.1NRT,297.72,11.94,D
-7.49983,138.25912,320.66,1.19,1.09,2023-10-06,0033,T,68,6.1NRT,297.97,13.97,D
-7.58648,138.84137,325.17,1.11,1.05,2023-10-06,0033,T,76,6.1NRT,300.94,16.68,D
-8.03019,141.68294,323.23,1.03,1.01,2023-10-06,0033,T,0,6.1NRT,305.3,11.65,D
-7.96928,141.19408,313.54,1.01,1,2023-10-06,0033,T,56,6.1NRT,296.29,6.16,D
-8.0815,141.6571,316.03,1.02,1.01,2023-10-06,0033,T,55,6.1NRT,296.91,7.6,D
-7.79922,139.09621,320.48,1.08,1.04,2023-10-06,0035,T,47,6.1NRT,300.42,9.76,D
-7.80065,139.10582,325.06,1.08,1.04,2023-10-06,0035,T,77,6.1NRT,300,14.94,D
-8.0756,140.85359,319.71,1,1,2023-10-06,0035,T,70,6.1NRT,297.95,10.15,D
-8.1616,140.93549,313.59,1,1,2023-10-06,0035,T,39,6.1NRT,295.47,5.41,D
-8.19233,141.02222,312.22,1,1,2023-10-06,0035,T,49,6.1NRT,292.6,5.59,D
-8.06102,139.7433,327.98,1.03,1.01,2023-10-06,0035,T,77,6.1NRT,301.49,17.33,D
-7.92049,137.98984,326.87,1.22,1.1,2023-10-06,0035,T,78,6.1NRT,298.55,21.7,D
-8.39088,140.61072,319.58,1,1,2023-10-06,0035,T,67,6.1NRT,299.64,9.7,D
-8.62804,142.12746,319.46,1.06,1.03,2023-10-06,0035,T,48,6.1NRT,295.88,8.95,D
-8.6544,141.99252,330.23,1.05,1.03,2023-10-06,0035,T,83,6.1NRT,295.97,25.22,D
-8.51946,140.92328,316.54,1,1,2023-10-06,0035,T,49,6.1NRT,296.99,7.09,D
-8.31274,137.86566,320.21,1.22,1.1,2023-10-06,0035,T,66,6.1NRT,299.2,13.69,D
-8.89398,140.96373,323.46,1,1,2023-10-06,0035,T,76,6.1NRT,299.46,12.7,D
-11.26184,142.21233,321.95,1.13,1.06,2023-10-06,0035,T,59,6.1NRT,301.56,12.81,D
-11.37522,142.15944,322.07,1.13,1.06,2023-10-06,0035,T,41,6.1NRT,302,10.19,D
-11.89593,142.74562,311.75,1.22,1.1,2023-10-06,0035,T,29,6.1NRT,295.14,8.5,D
-12.19601,142.17877,317.24,1.15,1.07,2023-10-06,0035,T,38,6.1NRT,293.25,8.17,D
-12.19745,142.18921,320.44,1.15,1.07,2023-10-06,0035,T,64,6.1NRT,292.51,11.86,D
-12.20552,142.17746,319.86,1.15,1.07,2023-10-06,0035,T,36,6.1NRT,295.06,11.39,D
-12.2169,142.01207,335.5,1.13,1.06,2023-10-06,0035,T,87,6.1NRT,296.6,34.42,D
-12.33924,142.92909,319.73,1.27,1.12,2023-10-06,0035,T,33,6.1NRT,293.09,18.07,D
-12.34917,142.92749,317.69,1.27,1.12,2023-10-06,0035,T,37,6.1NRT,292.68,15.82,D
-12.26448,142.07869,318.82,1.14,1.06,2023-10-06,0035,T,22,6.1NRT,294.53,9.66,D
-12.38135,142.86546,322.28,1.26,1.11,2023-10-06,0035,T,45,6.1NRT,298.58,18,D
-12.3882,142.84149,320.71,1.25,1.11,2023-10-06,0035,T,51,6.1NRT,296.32,16.09,D
-12.38973,142.85277,318.74,1.26,1.11,2023-10-06,0035,T,38,6.1NRT,293.55,13.34,D
-12.29809,141.93275,320.33,1.12,1.06,2023-10-06,0035,T,71,6.1NRT,298.03,11.72,D
-12.29946,141.94292,317.49,1.12,1.06,2023-10-06,0035,T,63,6.1NRT,297.06,9.11,D
-11.65407,136.02307,331.69,1.43,1.18,2023-10-06,0035,T,0,6.1NRT,302.64,33.52,D
-12.79693,142.99634,319.59,1.3,1.13,2023-10-06,0035,T,60,6.1NRT,295.84,18.43,D
-12.7974,143.0025,327.44,1.3,1.13,2023-10-06,0035,T,54,6.1NRT,293.39,30.09,D
-11.28415,132.09081,316.33,2.88,1.62,2023-10-06,0035,T,0,6.1NRT,297.27,20.22,D
-11.28642,132.08456,317.16,2.88,1.62,2023-10-06,0035,T,39,6.1NRT,297.58,22.05,D
-12.31366,136.56908,343.61,1.29,1.13,2023-10-06,0035,T,90,6.1NRT,307.54,52.85,D
-12.31546,136.5807,336.29,1.29,1.13,2023-10-06,0035,T,84,6.1NRT,306.29,35.28,D
-13.26978,142.71878,313.44,1.26,1.12,2023-10-06,0035,T,12,6.1NRT,296.42,11.07,D
-11.8644,133.34668,322.15,2.24,1.45,2023-10-06,0035,T,62,6.1NRT,300.79,26.98,D
-11.87724,133.34438,338.7,2.24,1.45,2023-10-06,0035,T,87,6.1NRT,302.47,94.29,D
-11.88056,133.36436,327.67,2.23,1.45,2023-10-06,0035,T,74,6.1NRT,301.99,43.88,D
-11.87574,133.33868,339.65,2.24,1.45,2023-10-06,0035,T,87,6.1NRT,302.25,97.36,D
-11.87921,133.35863,329.62,2.23,1.45,2023-10-06,0035,T,78,6.1NRT,302.31,50.05,D
-12.02977,133.93916,324.26,2,1.38,2023-10-06,0035,T,64,6.1NRT,302.35,28.16,D
-12.43304,136.41649,325.61,1.31,1.14,2023-10-06,0035,T,69,6.1NRT,307.78,13.64,D
-12.43491,136.42833,327.68,1.31,1.14,2023-10-06,0035,T,73,6.1NRT,307.68,16.79,D
-12.04526,133.88072,324.37,2.02,1.39,2023-10-06,0035,T,68,6.1NRT,301.59,26.04,D
-13.36682,142.45847,321.08,1.22,1.1,2023-10-06,0035,T,30,6.1NRT,296.14,14.6,D
-13.43334,142.56847,335.21,1.24,1.11,2023-10-06,0035,T,82,6.1NRT,300.4,34.84,D
-13.43485,142.57979,327.79,1.25,1.11,2023-10-06,0035,T,47,6.1NRT,298.37,21.65,D
-12.42519,135.58376,333.34,1.49,1.21,2023-10-06,0035,T,80,6.1NRT,304.66,36.31,D
-12.43588,135.582,338.7,1.49,1.21,2023-10-06,0035,T,86,6.1NRT,305.56,49.37,D
-12.438,135.59544,340.69,1.49,1.2,2023-10-06,0035,T,88,6.1NRT,305.97,55.04,D
-12.44009,135.60864,323.21,1.48,1.2,2023-10-06,0035,T,42,6.1NRT,304.47,12.12,D
-12.44366,135.60213,325.87,1.48,1.2,2023-10-06,0035,T,54,6.1NRT,305.77,15.61,D
-12.45402,135.53127,348.15,1.5,1.21,2023-10-06,0035,T,93,6.1NRT,304.6,82.53,D
-12.45624,135.54485,354.77,1.5,1.21,2023-10-06,0035,T,97,6.1NRT,306.08,106.95,D
-12.45845,135.55844,326.52,1.49,1.21,2023-10-06,0035,T,49,6.1NRT,305.05,16.48,D
-12.46476,135.52957,391.44,1.5,1.21,2023-10-06,0035,T,100,6.1NRT,309.73,350.26,D
-12.46695,135.54308,404.65,1.5,1.21,2023-10-06,0035,T,100,6.1NRT,312.4,484.87,D
-12.46916,135.55666,344.19,1.49,1.21,2023-10-06,0035,T,90,6.1NRT,306.95,64.53,D
-12.3468,134.6669,327,1.74,1.29,2023-10-06,0035,T,69,6.1NRT,303.36,27.05,D
-12.34937,134.68257,322.64,1.74,1.29,2023-10-06,0035,T,38,6.1NRT,302.5,15.61,D
